Time,1601 Garden St,Tweedy's,29th Street Ballroom,Palm Door,Palm Door Patio,Chess Club,Continental Club,End of an Ear,Global Stage @ Downright Austin Backyard,Downright,Güero's,Hotel Vegas,Hotel Vegas Patio,Volstead,Volstead,Seven Grand,Las Perlas,Low Down Lounge,Meanwhile Brewing,Pearl St Co-op,Radio/East,Scholz Garten,Shangri-La,Speakeasy,Swan Dive,Swan Dive Patio,The Courtyard ATX,The Lucky Duck,Valhalla,Venue 6,Webberville Food Truck Park,Zilker Brewing,6111 Hogan Ave,ABGB,Augustine,Moody Theater,Billboard Presents The Stage,Central Machine Works,Central Presbyterian Church,Elysium,Flamingo Cantina,Austin Marriott,Hilton Grand Ballroom (Salon HJK),Kingdom,Lefty’s Brick Bar,Mala Fama Rooftop,Mala Vida,Mohawk Outdoor,Neon Grotto,Neon Grotto Rooftop,Nivel @ Mala Fama,Rivian Electric Roadhouse,Riviere,Saxon Pub,Stubb’s,Taco n Maiz,The 13th Floor,The Liberty,Wanderlust Wine Co.,Waterloo Records,Yeti Flagship
9a,,,,,,,,,,,,,,,,,,,,,,Grrrl Gang (9),,,,,,,,,,,,,,,,,,,,,,DLOW (2:45),,,,,,,,,,,,,,,,,
9:30a,,,,,,,,,,,,,,,,,,,,,,Steve Bamidele (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10a,,,,,,,,,,,,,,,,,,,,,,Cure for Paranoia (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11a,,,,,,,,,,,,,,,,,,,,,,Kevin Morby (11),,,,,,,,,,Ari & the Artifacts (11:15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:30a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neon Lemon (11:30),,,,
12p,Jonathan F. Horne (12),Slash Need,Glaze,,,,,,,Radium Dolls (12),,BRUCE,,,Torture & the Desert Spiders,,,,,,,,,,,,,,The Family Battenberg (12:20),,Sasha & the Valentines (12),The Midnight Papers (12),,,,,,,,,,,,,,,,,,,,,,,,,French Film (12:25),,,,
12:30p,Charles Ben Russell (12:30),Thelma and the Sleaze,Fish Hunt,,,,,,,,,Team Trust,,,How Tragic,,,,,,,,,,,,,,,,,DD Island (12:45),,,,,,,,,,,Joe Harvey-Whyte (12:45),,,,,,,,,,,,,,,,,,
1p,Semiihelix (1),Gus Baldwin & the Sketch,Stab,,,,,The Sophs (1),,runo plum (1),,Égaux Sells,,,Paisley Fields,,,,,Badger Hunt (1),,,,,Wonderdya,,,,Sex Mask (1:05),,Balaclava (1),,,,,,,,,,,,,,,,,,,,,,,,,,Lauren Lakis (1:20),,,Brie Stoner (1),Raynes (1)
1:30p,Lili Lonelyhearts (1:30),Ewe,Cashier,,,,,,,,,Free Hamze,,,Glassio,,,,,,,,,,Patrick McNally,,,,Famous Friend (1:50),,,Bantom Woods (1:30),,,,,,,,,,,,,,,,Alicia Creti (1:30),,,,,,,,,,,,,Grocery Bag (1:50)
