Time,29th Street Ballroom,Palm Door,Palm Door Patio,Chess Club,Elysium,Flamingo Cantina,Global Stage @ Downright Austin Backyard,Downright,High Noon Out,Hole in the Wall,Hotel Vegas,Hotel Vegas Patio,Volstead,Inn Cahoots Austin Garden,Inn Cahoots Studio,Seven Grand,Las Perlas,Low Down Lounge,Mohawk,Seven Spirits,Shangri-La,Speakeasy,Swan Dive,Swan Dive Patio,The 13th Floor,The Pershing,Waterloo Records,Antone’s,Central Presbyterian Church,Coconut Club,Coconut Club Rooftop,Continental Club,High Noon In,Kingdom,Lamberts,Lefty’s Brick Bar,Mala Fama Rooftop,Mala Vida,Marlow,Meanwhile Brewing,Mohawk Indoor,Mohawk Outdoor,Riviere,Stubb’s,Taco n Maiz,Valhalla,Venue 6,Wanderlust Wine Co.,Zilker Brewing
9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kozlow (2),,,,,,,,,,,,,,,,,,,
12p,,,,,,,,Lucid Express (12),,,,,,,,,,,Water from Your Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:30p,,,,,,,,,,,,,,,,,,,This Is Lorelei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1p,,,,The Citie (1),,,,Jamaica Moana (1),TTSSFU (1),,,,,,,,,,Rocket,,,,,,,,Grace Sorenson (1),,,,,,,,,,,,,,,,,,,,,,
1:30p,,,,Lucid Express (1:45),,,,,,,,,,,,,,,Meg Elsier,,,,,,,,,,,,,,Buddy Redd (1:30),,,,,,,,,,,,,,,,
2p,,,The Family Battenberg (2),,,,,Hot Garbage (2),,,Grocery Bag,,,,,,,,Cure for Paranoia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:30p,,KOJ (2:40),,Spirit Ghost (2:30),,,,,Swapmeet (2:30),,Hikes,,,,,,,,Diles que No Me Maten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3p,,,Ben Ellis (3:20),Arroba Nat (3:15),,,,Los Lobos (3),,,Club Coma,,,,,,,,Ashaine White,,,,,,,,Me Nd Adam (3),,,,,,Diles que No Me Maten (3),,,,,,,,,,,,,,,,
3:30p,,,,,,,,,,,Bruce,,,,,,,,Total Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4p,,Andrew Cushin (4),,MX Lonely (4),,,,MT Jones (4),Liz Cooper (4),,Nervous,,,,,,,,Bloodsports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:30p,,,Hana Lili (4:40),Future Nobodies (4:45),,,,,,,Dossey,,,,,,,,Gran Moreno,,,,,,,,,,,,,,Spencer Thomas (4:30),,,,,,,,,,,,,,,,
5p,,Adult DVD (5:20),,,,,,,,,Glaze,,,,,,,,Almost Heaven,,,,,,,,Chalk (5),,,,,,,,,,,,,,,,,,,,,,
5:30p,,,,Taraneh (5:30),,,,,Bloodsports (5:30),,Daphne Tunes,,,,,,,,Worlds Worst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6p,,,,,,,,,,,New Strangers,,,,,,,,,,,,,,,,,,,,,,Natalie Jane Hill (6),,,,,,,Arroba Nat (6),,,,,,,,,
6:30p,,,,,,,,,,Two-Man Giant Squid (6:30),Paper Sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7p,Packaging (7),Carnival Dancers (7),,,,,Lucid Express (7),,,,MX LONELY (7),Annabelle Chairlegs (7:20),Wesley Wolffe (7:20),,,,,Mika Häkki & Dark Yonder (7),,,DJ Jester the Filipino Fist (7),,,,,Jordan Walsh (7),,,,,,,,,Talise (7),Elijah Delgado (7),,,,La Texana (7),,,,Just Jim (7),,,,Mai Anna (7),JLQ (7)
7:30p,,DJ AG (7),,,,,Jasmine Jethwa (7:50),,,,Chatterton (7:55),,,,RAKEL (7:50),Wilby (7:50),wilter (7:30),,,,,,,Amor Vincit Omnia (7:30),,,,,,,,,,,,,,,Sage Bava (7:30),,,,,,,,,,Larry Seaman (7:45)
8p,,Jenna Cole (7:35),,Lucky (8),Mass Minor (8),Babatunde Hip Hopera (8),,,,,Gummy Fang,,Modern Cult (8:15),DUUNES (8),,,Camille Schmidt (8:20),Creature Canyon (8),,Cardinal Bloom (8),Special Guest(s) (8),KUOKO (8),Panic Shack (8),,WifeKnife (8),Panoramic Voices (8:10),,,Batry Powr (Nicole Miglis) (8:10),Kozlow (8),,Paisley Fields (8),,,,Julie Nolen (8),,,,,,,Dj Beastie (8),Grace Sorensen (8:10),Ruido Selecto (8),Hana Eid (8),Nikki Gold (8),Oya Noire (8),
8:30p,,Rampage Sound (8),,,,Jamie Duffy (8:50),Ella Ion (8:40),,,,bloodsports (8:50),,,,Spacestation (8:50),Horsepower (8:40),,,,Stare Away (8:50),,,,Sarah Meth (8:30),,,,Kembe X (8:40),Joe Patitucci (8:15),,,,,,,,,,amri (8:30),,,,South North SouthWest (8:30),,,,D2BLEE (8:30),,The Eric Hisaw Band (8:30)
9p,Queen Serene,MORGAN (9:05),Jamie Dred (9:25),Johnny Falloon (9),CDSM (9),,,,,,French Film,Girl Tones (9:10),Marni Ct. (9:10),,,,Luke Tyler Shelton (9:10),Bubba Lucky (9),,,mypilotis (9),Rosa Anschuetz (9:15),Joyeria (9),,P.H.0 (9),Graham Reynolds (9:20),,Devin Malik (9),,,,Theo Lawrence (9),,Dramos (9),The Pink Stones (9),Marley Hale (9),,,,,Knox Write (9:10),ilykimchi and oogie mane (9),GoldenBoyNoel (8:50),Buddy Red (9),lluvii (9),The Braymores (9),E.M.E (8:50),Morgan Munroe (9),Parker Woodland (9:15)
9:30p,Kind Keith,Big Zeeks (9:35),,,,Les Itinérantes (9:40),Magnolian (9:30),,,,Victoryland (9:45),,,,The Dumes (9:50),Deloyd Elze (9:30),,,,The Ramona Flowers (9:40),,,,Hemi Hemingway (9:30),,,,Yakiyn (9:25),Lightbath (9:30),,,,,,,,,,Attalie (9:30),,RickFromTexas (9:55),,Que the Boy (9:10),Zae France (9:40),,,AJTHEFLANNELGOD (9:15),,
10p,Farmer's Wife,,,haha Laughing (10),Unsafe Space Garden (10),,Planeta No (10:20),,,,Living Set,Edgehill (10:05),Swapmeet (10:05),Five For Fighting (10),,Shallowater (10:20),Angela Autumn (10),Liquid Hips (10),,,very nice person (10),,Alien Chicks (10),,Two-Man Giant Squid (10),,,Ray Vaughn (10),,JOPLYN (10),Franki Chan (10),Greyson Turner (10),,,Jovi Greene (10),Montclair (10),,,,,Max Evasion (10:25),Stevie Bill (10),Louie Lee (9:35),JayDon (10:10),Lena Dardelet (10),The Band Loula (10),SHO (9:35),eydrey (10),Little Wilderness (10)
10:30p,,,Special Guest (10:45),,,SUUVI (10:30),,,,,Trophy Wife (10:40),,,,His Lordship (10:50),,Victoryland (10:50),,,Adult Leisure (10:30),,Modeselektor (10:30),,cootie catcher (10:30),,Daniel Fears (10:30),,,,,,,,,,,,,Azamiah (10:30),,,sosocamo (10:45),DeMaciiio (10),,,,Propain (10:45),,
11p,,,Kofi Stone (11:20),Kali Horse (11),2charm (11),Hania Derej (11:20),The Irrepressibles (11:10),,,,The Lovely Sparrows,Rehash (11),AKA BK (11),Passion Pit (11),,Cashier (11:10),,The Red Eye Gamblers (11),,Nightbus (11:20),Money Mark (11),,Home Counties (11),,Joudy (11),,,,,,,Casper Allen (11),,Casmalia (11),MT Jones (11),,,,,,,,2Down (10:25),TY DOLLA $IGN (11),Rafa Parra (11),Pretty Jane (11),B6 (11:10),Dizzy Fae (11),
11:30p,,,Rampage Sound (11:30),,,,,,,,FEET (11:35),Couch Dog (11:55),Glaze (11:55),,Buckets (11:50),,mer marcum (11:40),,,,,,,Sex Mask (11:30),,Maru Haru (11:40),,,,,,,,,,,,,Steven Bamidele (11:30),,,The Paradox (11:30),B Free (10:50),,,,Raq Baby (11:35),,
12a,,,Kairo Keyz (11:50),Casket Cassette (12),Torture and the Desert Spiders (12),Kety Fusco (12:10),,,,,Commercial Breaks,,,Sexpop (12),,Total Wife (12),,,,The Gringos (12:10),,,Whitelands (12),,Endearments (12),,,,,,ZHU (12),Marley Hale (12),,Sickick (12),,,,,,,,BabyChiefDoIt (12:20),Asaka The Renegade (11:15),,,Arroba Nat (12),Vickeelo (12:05),,
12:30a,,,Armanii (12:35),,,,,,,,Radium Dolls (12:30),J’cuuzi (12:50),Fime (12:50),,OKAN (12:50),,,,,,,,,TTSSFU (12:30),,,,,,,,,,,,,,,,,,,Neisha Neshae (11:40),,,,,,
1a,,,,,,,,,,,CQ Wrestling (1:25),,,Glassio (1),,,,,,DAIISTAR (1),,,Adult DVD (1),,The Sheila Divine (1),,,,,,,,,Kingdom DJs (1:15),,,,,,,,,NASAAN (12:10),,Luna Luna (1),The Animeros (1),,,
1:30a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruiser Wolf (12:45),,,,,,
