Time,Tweedy's,29th Street Ballroom,ABGB,Palm Door,Palm Door Patio,Central Presbyterian Church,Cheer Up Charlie's,Chess Club,Continental Club,Elysium,Global Stage @ Downright Austin Backyard,Downright,High Noon In,High Noon Out,Hole in the Wall,Hotel Vegas,Hotel Vegas Patio,Volstead,HowMuch?! Studios In,HowMuch?! Studios Out,Kingdom,Seven Grand,Las Perlas,Low Down Lounge,Meanwhile Brewing,Pearl St Co-Op,Radio/East,Stargazer,Swan Dive,Swan Dive Patio,The 13th Floor,The Lucky Duck,Valhalla,Walter's Tavern,Wanderlust Wine Co.,Webberville Food Truck Park,Moody Theater,Billboard Presents The Stage,Brushy Street Commons,Cherrywood Coffeehouse,Flamingo Cantina,Austin Marriott,Hilton Grand Ballroom (Salon HJK),Lefty’s Brick Bar,Mala Fama Rooftop,Mala Vida,Mohawk Outdoor,Rivian Electric Roadhouse,Riviere,Saxon Pub,Scholz Garten,Shangri-La,Side Bar In,Side Bar Out,Speakeasy,Stubb’s,Taco n Maiz,The White Horse,Venue 6,Waterloo Records,Zilker Brewing
9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dizzy Fae (9),,,,,,,,,,
9:30a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gran Moreno (8),,,,,,,,,,
10a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Tullamarines (10),,,,,,,,,,
11a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marilina Bertoldi (11),,,,,,,,,,
11:30a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karina Galicia (11:45),,,,,,,,,,,,,,
12p,Sheer Mag,Big Bill,Atsuko Chiba,,,,,Team Trust,,,,,,,,,,,,,,,,,Bershy (12),,,,,,The Dharma Chain,,,,,Pretty Jane (12),,,,,,,,,,,,,,,,,,FEET (12),,,,Girl in a Coma,,,
12:30p,Touch Girl Apple Blossom,Bloodsports,Cheap Perfume,,,,,Hot Garbage,,,,,,,,,,,,,,,,,,,,,,,Pink Breath of Heaven,,,,,,,,,,,,Javiera Electra (12:45),,,,EddyJae (12:35),,,,,,,,,,,Garrett T. Capps & NASA Country,,,
1p,Good Flying Birds,Careabout,Broken Colours,,,,Runo Plum,Pippy,,,,Famous Friend (1),,Sassy 009 (1),,Rocket from the Crypt,,,,,,,,,The Braymores (1),,,,Good.,,Jet Cemetary,,,,,60 Juno (1),,,,,,,,,,,,,,,,,,Social Cig (1),,,,The Hickoids,,The Sophs (1),
1:30p,Guiding Light,Couch Dog,Steven Bamidele,,,,Shallowater,Hunch,,,,,Runo Plum (1:30),,,Didjits,,,,,,,,,,,,,Water Gun,,Bikini Beach,,,,,,,,,,,,,,,,Mosmo (1:30),,,,,,The Family Battenberg (1:30),,,,,Los Juanos,,,
2p,TV Buddha,Feet,Enfants,,,,Cashier,The Dutch Kills,,,,Grace Sorensen (2),,,,The Mummies,,,,Avae (2),,,,,Easy Honey (2),,,P.H.0,Nilsa No One,,I SEE ORANGE,,,,,Mer Marcum (2),,,,Snailmate,,,,,,,,The Point. (2),,,,,,Buckets (2),,,,Lonely Horse,,,
2:30p,Godsend,Forty Feet Tall,Diva,,,,Susannah Joffe,Ewe,,,,,,Joshua Ray Walker (2:30),,His Lordship,,,HNRY FLWR (2:45),,,,,,,,,The Sheila Divine,2099,,Grocery Bag,,,,,,,,,Buckets,,DJ Jester the Filipino Fist (2:30),,,,,Oscar Ortiz (2:30),,,,,,Sunjammer (2:30),,,,,The In & Outlaws,,,
3p,Texting,Swapmeet,Rosebay,,,,Total Wife,,,,,The Sophs (3),Still Blank (3),,,Tear Dungeon,,,,,,,,,Pretty Jane (3),,Mên An Tol,Joudy,,,The Violet Mindfield,Tea Aguilar (3),,,,Trophy Wife (3),,,,Side Saddles,,Money Mark (2:35),,,,,Lena Dardelet (3:15),Lara’ (3),,,,,,Sunshine Spazz (3),,,,HoneyBunny,,Packaging (3),
3:30p,Cashier,Victoryland,Semihelix,,,,Swapmeet,,,,,,,,,Jack Oblivian & the Sheiks,,,,GLASSIO (3:30),,,,,,,The Braymores,Wifeknife,,,Spirit Ghost,Lucky Break (3),,,,,,,,Keaton Schiller,,,,,,,,,,,,,Richard Tripps (3:30),,,,,,,,
4p,Badger Hunt,,Clement Hall,,,,Victoryland,,,,,Anna Shoemaker (4),,Bricknasty (4),,Gus Baldwin & the Sketch,,,DD Island (4:15),,,,,,,,The Dirty Turkeys,Two-Man Giant Squid (4),,,,Tyne Darling (4),,,,Victor Jones (4),,,,Moon Medallion,,Melanie Dyer (4),,,,,Sofish (4),Annabelle Chairlegs (4),,,,,,Lee Bains III (4),,,,,,,
4:30p,Parking,,Ancient Greece,,,,Good Flying Birds,,,,,,The Haunted Youth (4:30),,,Black Mercy,,,,,,,,,,,Couch Dog,Johnny Falloon,,,,Haylie Davis (4),,,,,,,,The Maples,,,,,,,BrunOG (4:45),,,,,,Gus Englehorn (4:30),,,,,,,,
5p,Paper Jam,,Slurp the World,,,,Mariae Cassandra,,,,,,,,,Mugger,,,,Mikky and the Doom (5),,,,,,Amish Swans (5),Sun Atlas,Jesus Christ II,,,,Larsen West (5),,,,Creature Canyon (5),,,,Nasty Mintz,,,,,,,,,,,,,,THEMM! (5),,,,,,Marilina Bertoldi (5),
5:30p,Guyscrapers,,The Kellows,,,,,CDSM (5:30),,,,,,Dylan Earl (5:30),,Spoon Benders,,,Denim Haircut (5:45),,,,,,,,Tropa Magica,How Tragic,,,,,,,,,,,,Shelby Spector,,,,,,,Hermanos Espinoza (5:30),,,,,,Bikini Beach (5:40),,,,,,,,
