Time,29th Street Ballroom,Alienated Majesty,Blazer Tag,Palm Door,Palm Door Patio,Chess Club,Flamingo Cantina,Austin Marriott,Global Stage @ Downright Austin Backyard,Downright,High Noon In,High Noon Out,Hotel Vegas,Hotel Vegas Inside,Hotel Vegas Patio,Volstead,Volstead,Seven Grand,Las Perlas,Low Down Lounge,Meanwhile Brewing,Mohawk Outdoor,Neon Grotto,Neon Grotto Rooftop,Rivian Electric Roadhouse,Sahara Lounge,Shangri-La,Speakeasy,Springdale Station,Swan Dive,Swan Dive Patio,The 13th Floor,Zilker Brewing,Antone’s,Batch,Billboard Presents The Stage,Central Presbyterian Church,Coconut Club,Coconut Club Rooftop,Continental Club,Elysium,Kick Butt Coffee,Lefty’s Brick Bar,Mala Fama Rooftop,Marlow,Nivel @ Mala Fama,Radio East,Riviere,Seven Spirits,Side Bar Inside,Side Bar Patio,Stubb’s,Taco n Maiz,The Pershing,Valhalla,Venue 6,Wanderlust Wine Co.
12p,,,,,,,,,,Jenna Cole (12),,,,,,,,,,,The Band Loula (12),The Gringos (12:05),,,,,,,,,,,Snail Mate (12),,Moving Panoramas,,,,,,,,,,,,,,,,Joudy (12:15),,,,,,
12:30p,,,,,,,,,,,,,,,,,,,,,,Sassy 009 (12:40),,,,,,,,,,,Kev Bev (12:45),,Calico Sky,,,,,,,,,,,,,,,Garrett T. Capps & NASA Country (12:50),,,,,,,
1p,,,,,Still Blank (1),Bloodsports (1),,,,KOJ (1),Emily Nenni (1:25),Meg Elsier (1),Diles que No Me Maten,,,,,,,,Paisley Fields (1),,,,,,,,,,,,,,LCLS,,,,,,,,,,,,,,,,Jon Langford (Mekons) (1:25),,,,,,
1:30p,,,,,,Hannah Sandoz (1:45),,,,,,,Girl Tones,,,,,,,,,,,,,,,,,,,,Grrrl Gang (1:30),,The Whale,,,,,,,,,,,,,,,,,,,,,,
2p,Endearments,,,,Hector Gannet (2:20),,,,,Basht. (2),,Radium Dolls (2:15),Good Flying Birds,,,,Maldosa (2),,,,Wim Tapley & the Cannons (2),,,,THEBROSFRESH (2),,,,Carriers,,,,Swimwear Department (2:15),,Dead Canyon Reunion,,,,,,,Dose Rose (2),,,,,,,,Zastava (2:05),,,,,,,
2:30p,Pippy,,,,,Dad Bod (2:30),,Simone Tang (2:30),,,Good Flying Birds (2:45),,Swapmeet,,,,Heart Knit (2),,,,,Amie Blu (2:30),,,,,,,Spirit Ghost,,,,,,Nathan Felix & the Dirty Rotten Boys,,,,,,,Lost Millions (2:45),,,,,,,,,The Sheila Divine (2:40),,,,,,
3p,Lucid Express,,,Jenna Cole (3),,Ella Ion (3:15),,,,MEEK (3),,,Cashier,,,,Shams (2),,,,Liz Cooper (3),,,,Blah Spa (3),,,,DD Island,,,,mypilotis (3),,Kim Simpson,,,,,,,,,,,,,,,Firecracker (3:15),,,,,,,
3:30p,Radium Dolls,,,,Loren Heat (3:40),,,,,,,,Ricochet Star,,,,Godsend (2),,,,,,,,,,,,Jonny Tex,,,,Sultanes Del Yonke (3:45),,Lee Trent,,,,,,,Stardust Vinyl (3:30),,,,,,,,,Lee Bains (3:50),,,,,,
4p,Ancient Greece,,,KING NO-ONE (4:20),,Foliage (4),,Pedal Steel Noah (4),,CHALK (4),,Jonny Fritz (4),Casket Cassette,,,,Tamsen (2),,,,,INK (4:10),,,Bayonne (4),Language (4),,,Endearments,,,,,,Dalla Terra,,,,,,,Gun Cat (4:15),,,,,Annabelle Chairlegs (4),,,Commercial Breaks (4:25),,,,,,,
4:30p,Joyeria,,,,,Fime (4:45),,,,,Horsepower (4:30),,Drook,,,,Blue Ribbon (2),,,,,,,,,,,,Wifeknife,,,,CorMae (4:30),,Mitts,,,,,,,,,,,,,,,,,,,,,,
5p,Semisoft,,Sharkwork,,Marketplace (5),,,,,,,,Bloodsports,,,,,,,,,TTSSFU (5:10),,,,Ewe (5),,,,,,,Peelander-Z (5:15),,Jawgut,,,,,,,Turbo Goth (5),,,,,,,,,Joyeria (5),,,,,,
5:30p,Two-Man Giant Squid (5:30),,Downhill2k01,Tom A Smith (5:40),,Famous Friend (5:30),,,,,,Shallowater (5:30),Turbo Goth,,,,,,,,,Panic Shack (5:55),,,,,,,,,,,,,"Meredith ""Scottie"" Welborn",,,,,,,Social Dissonance (5:45),,,,,,,,Big Fat Head (5:35),,,,,,,
6p,Oscar Twins,,Assorted Potions,,,,,,,,Girl Tones (6),,Guiding Light,,,,,,,,,,,,,Commercial Breaks (6),,,,,,,,,Bill Cody,,,,,,,,,,,,,,,,TV's Daniel (6:10),Alex Lambert (6),,,,,
6:30p,CDSM (6:30),,Worldbuilder,,,,,,,,,,Dutch Kills,,,,,,,,,THEBROSFRESH (6:40),,,,,,,,,,,,,Caleb Seboldt,,,,,,,FiFi Knifefight (6:30),,,,,,,,,,Thelma and James (6:45),,,,,
7p,Nightbus,Badger Hunt,Galaxy Gardens,,,,,,Alina Pash (7),,,,Mikky and the Doom,,TTSSFU (7),,,,,Korda Korder (7),,,,,,DD Island (7),Pehuenche (7),,,,,,Simone Tang (7),,Isadora Lilly,,Merrick Winter (7),,,,,Mourning After (7:15),EddieAngel (7),,,,Surfbort,,,,,,,King Cooley (7:10),,,DJ Gotta Strut (7)
