Time,809 E. 8th St,Breakaway Records,Palm Door,Palm Door Patio,Brushy Street Commons,Cheer Up Charlies,Chess Club,Elysium,Hotel Vegas,Seven Grand,Las Perlas,Lefty’s Brick Bar,Low Down Lounge,Marlow,Meanwhile Brewing,Mohawk Indoor,Mohawk Outdoor,Scholz Garten,Shangri-La,Swan Dive,Swan Dive Patio,The Liberty,Valhalla,Webberville Food Truck Park,Yeti Flagship,The Lucky Duck,Augustine,Moody Theater,Central Presbyterian Church,Continental Club,Delilah's Front Porch,Flamingo Cantina,Global Stage @ Downright Austin Backyard,Hilton Grand Ballroom (Salon HJK),Kingdom,Mala Fama Rooftop,Nivel @ Mala Fama,Riviere,Saxon Pub,Stubb’s,The 13th Floor,Venue 6,Wanderlust Wine Co.,Waterloo Records,Zilker Brewing
9a,,,,,,,,,,,,,,,,,,Eric McEntee (9),,,,,,,,,,,,,,,,,JUSTAGURL (2),,,,,,,,,,
9:30a,,,,,,,,,,,,,,,,,,Quentin (8),,,,,,,,,,,,,,,,,JOTP B2B Jordan M Boudreau (3),,,,,,,,,,
10a,,,,,,,,,,,,,,,,,,Honey I'm Home (10),,,,,,,,,,,,,,,,,,,,,,,,,,,
11a,,,,,,,,,,,,,,,,,,Adult Leisure (11),,,,,,,,,,,,,,,,,,,,,,,,,,,
12p,,,,,,Almost Heaven,,,,,,,,,,,,,,,,,,Leo Napoleon (12),,,,,,,,,,,,,,,,,,,,,
12:30p,,,,,,Congratulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les Itinérantes (12:45),,,,,,,,,,,
1p,,,,,Twink Death (1),Night Ritualz,,,,,,,,,,,,,,,,,,Redbud (1),Datura (1),,,,,,,,,,,,,,,,,,,Aubrie Sellers (1),
1:30p,,,,,Sittin Sideways (1:30),CDSM (1:50),,,,,,,,,,,,,,,,,,,The Tullamarines (1:50),,,,,,,,,,,,,,,,,,,,
2p,,,,,Banged Out (2),Lauren Lakis,,,Amplified Heat,,,,,,,,,,,,,,,DD IIsland (2),,,,,,,Shared Walls (2),,,,,,,,,,,,,,
2:30p,,,,,Touch Girl Apple Blossom (2:30),Turbo Goth,,,American Sharks,,,,,,,,,,,,,,,,Avery Cochrane (2:40),,,,,,Fried Awake (2:45),,,,,,,,,,,,,,
3p,,Bubba Lucky (3),,,Sanity Slip (3),Pink Breath of Heaven,,,Orión García,,,,,,,,,,,,,,,Forty Feet Tall (3),,,,,,,,,,,,,,,,,,,,Haylie Davis (3),
3:30p,,,,,Mugger (3:30),Stalefish,,,Osees,,,,,,,,,,,,,,,,Easy Honey (3:30),,,,,,Lazy Comet (3:30),,,,,,,,,,,,,,
