Time,ABGB,Brushy Street Commons,Central Presbyterian Church,Elysium,Friendly Rio Mart,Global Stage @ Downright Austin Backyard,Downright,High Noon In,Hotel Vegas,Hotel Vegas Patio,Volstead,Seven Grand,Las Perlas,Low Down Lounge,Mohawk Indoor,Mohawk Outdoor,Swan Dive,Swan Dive Patio,The 13th Floor,Valhalla,Palm Door,Palm Door Patio,Chess Club,Coconut Club,Coconut Club Rooftop,Continental Club,Flamingo Cantina,High Noon Out,Inn Cahoots Austin Garden,Inn Cahoots Studio,Lamberts,Lefty’s Brick Bar,Mala Fama Rooftop,Mala Vida,Marlow,Riviere,Saxon Pub,Seven Spirits,Shangri-La,Taco n Maiz,The Creek and the Cave,The Creek and the Cave Backyard,The Pershing,Venue 6,Victory Grill,Wanderlust Wine Co.,Waterloo Records,Zilker Brewing
11a,,,,,,,DJ Albina (KEXP) (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:30a,,,,,,,DJ Evelyn (11:05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12p,,,,,,,OKAN (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1p,,,,,,,Sultanes del Yonke (1),,,,,,,,,,,,,,,,,,,,,Pons (1),,,,,,,,,,,,,,,,,,,Redbud (1),
1:30p,,,,,,,,MX Lonely (1:30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2p,,,,,,,Diles que no me maten (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:30p,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilby (2:30),,,,,,,,,,,,,,,,,,,,
3p,,,,,,,Marilina Bertoldi (3),Cootie Catcher (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilter (3),
3:30p,,,,,,,,,,,,,,,,,,,,,,Amy Gadiaga (3:45),,,,,,,,,,,,,,,,,,,,,,,,,,
4p,High Waisted,,,,,,La Texana (4),,,,,,,,,,,,,,,,,,,,,Chuck Prophet and His Cumbia Shoes (4),,,,,,,,,,,,,,,,,,,,
4:30p,Balaclava,,,,,,,Francesca Blanchard (4:30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5p,Torture & the Desert Spiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meg Elsier (5),
5:30p,Wetsuit,,,,,,,,,,,,,,,,,,,,,,,,,,,The Pink Stones (5:30),,,,,,,,,,,,,,,,,,,,
6p,Doak Hensley,,,,Cashier,,,Victoryland (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:30p,Two-Man Giant Squid (6:40),,,,Mx Lonely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7p,,Radium Dolls (7:15),mer marcum (7),,Marni Ct,Spacestation (7),,,,,,,,Junerise (7),,Sex Mask (7:20),,,,,,,,,,,,,,,Ruido Selecto (7),Ananto (7),,,Leslie Kirchoff (7),wyldflower (7),,,,,DJ Twin (7),TJ THE DJ (7),,DJ DMoney (7),J-Nice The Kingdom Builder (7),Deloyd Elze (7:15),,The Bures Band (7)
7:30p,,,Joe Harvey-Whyte (7:50),,Total Wife,Sūn Byrd (7:50),,,,,,,,,,,,,,,,,,,,,,,,Addie Addie Addie (7:50),,,,,JASNO (7:30),Smooth Nature (7:30),,,Blakchyl (7:30),,Zoe Tan (7:30),The Bul Bey (7:30),Karima Santi (7:30),Ken Lorentz (7:30),,,,Otis Wilkins (7:50)
8p,,Andy Arthur Smith (8:15),,Saint Avangeline (8),Stab,,,,,GILT (8),0 Miles Per Hour (8:15),LA ROSA NOIR (8),Los Discorde (8),Barb (8),Torture and the Desert Spiders (8:20),Zastava (8:10),,The Irrepressibles (8),Atsuko Chiba (8),Joyeria (8),Jasmine Jethwa (8),,Semisoft (8),,Lil Asian Thiccie (8),Spencer Thomas (8),Jamie Dred (8),,,,Fuego Santo (8),Jeff Akoh (8),,,Wave Chapelle & NilexNile (8:20),Vintage Jay (8:20),Whitney Mongé (8),Mega Ran (8),Willy J Peso (8),Nikki Gold (8),Jovi Greene (8:05),QUANNA (7:55),,Rocky Banks (7:45),Ras Mundi (8:25),feel trip. (8:05),,
