Time,29th Street Ballroom,Chess Club,Elysium,Hole in the Wall,Seven Grand,Las Perlas,Low Down Lounge,Downright,Seven Spirits,Shangri-La,The 13th Floor,Valhalla,Vulcan Gas Co,Wanderlust Wine Co.,Antone’s,Palm Door,Palm Door Patio,Brushy Street Commons,Central Presbyterian Church,Continental Club,Flamingo Cantina,Hotel Vegas,Hotel Vegas Patio,Volstead,La Volta Pizza,Lamberts,Lefty’s Brick Bar,Mala Fama Rooftop,Marlow,Mohawk Indoor,Mohawk Outdoor,Saxon Pub,Stubb’s,Swan Dive,Swan Dive Patio,The Creek and the Cave,The Creek and the Cave Backyard,Waterloo Records,Zilker Brewing
11a,,,,,,,,,,,,,Slow Joy,,,,,,,,,,,,,,,,,,,,,,,,,,
11:30a,,,,,,,,,,,,,Clementine,,,,,,,,,,,,,,,,,,,,,,,,,,
12p,,,,,,,,THUNDEROSA (12),,,,,Never Easy,,,,,,,,,,,,,,,,,,,,,,,,,,
12:30p,,,,,,,,,,,,,Willoh,,,,,,,,,,,,,,,,,,,,,,,,,,
1p,Bikini Beach,,,,,,,The Point. (1),,,,,Rosegarden Funeral Party,,,,,Willoh (1),,,,,,,Victoryland (1),,,,,,,,,,,,,,
1:30p,QIENSAVE,,,,,,,,,,,,Famous Friend,,,,,,,,,,,,Amelia's Best Friend (1:45),,,,,,,,,,,,,,
2p,Hot Garbage,,,,,,,Jillian Hudson (2),,,,,Whatshername,,,,,,,,,,,,,,,,,,,,,,,,,,
2:30p,Grocery Bag,,,,,,,,,,,,,,,,,Meg Elsier (2:30),,,,,,,Careabout (2:30),,,,,,,,,,,,,,
3p,Cootie Catcher,,,,,,,Cure for Paranoia (3),,,,,,,,,,Haha Laughing (3:15),,,,,,,Hysteria (3:15),,,,,,,,,,,,,,
4p,,,,,,,,Lew Apollo (4),,,,,,,,,,Alex Maas (Black Angels) (4),,,,,,,Hunch (4),,,,,,,,,,,,,,
5p,,,,,,,,Gus Baldwin & The Sketch (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:30p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dizzy Fae (5:45),
6:30p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blk Odyssy (6:45),
7p,CDSM (7),,,,,,KING NO-ONE (7),,,willoh (7),,,,,,,,,Bára Zmeková (7),,,Andrea Daniela (7),Sonido Cachimbo (7),,,Jacki Daniels (7),Joel Loredo (7),,,,Popstar Benny (7),,The Point. (7),,,,,,SATALiGHTS (7)
7:30p,,,,,,,,,AKA BK (7:30),,,,,mer marcum (7:30),CJ CHENIER AND THE RED HOT LOUISIANA BAND (7:30),,,,,,,,,,,Jonathan Paige Brown Jr (7:25),,,Manu Manzo (7:30),,OPR AVON (7:40),,Calder Allen (7:50),,The Bio. (7:30),,,,
